brand,product,name,hex,L_val,a_val,b_val
BECCA Cosmetics,Ultimate Coverage 24 Hour Foundation,shell,#EFCBA4,83.721924,7.125,24.09375
BECCA Cosmetics,Ultimate Coverage 24 Hour Foundation,linen,#F3CEB0,85.05249,8.609375,19.703125
BECCA Cosmetics,Ultimate Coverage 24 Hour Foundation,alabaster,#F2CBB4,84.313965,10.34375,16.546875
BECCA Cosmetics,Ultimate Coverage 24 Hour Foundation,porcelain,#F6C8A7,83.69141,11.703125,22.59375
BECCA Cosmetics,Ultimate Coverage 24 Hour Foundation,ivory,#F0C4AB,82.24487,12.046875,18.390625
BECCA Cosmetics,Ultimate Coverage 24 Hour Foundation,sand,#F2C79D,82.891846,9.484375,26.6875
BECCA Cosmetics,Ultimate Coverage 24 Hour Foundation,cashmere,#DFB38A,75.842285,10.40625,26.890625
BECCA Cosmetics,Ultimate Coverage 24 Hour Foundation,vanilla,#EEC29C,81.28052,10.453125,24.953125
BECCA Cosmetics,Ultimate Coverage 24 Hour Foundation,bisque,#EAB498,77.4353,15.796875,21.765625
BECCA Cosmetics,Ultimate Coverage 24 Hour Foundation,cashew,#DDAD8C,74.21875,13.046875,23.59375
BECCA Cosmetics,Ultimate Coverage 24 Hour Foundation,teak,#E5AE8F,75.32349,15.984375,23.609375
BECCA Cosmetics,Ultimate Coverage 24 Hour Foundation,desert,#E0AE8C,74.75586,13.6875,24.375
BECCA Cosmetics,Ultimate Coverage 24 Hour Foundation,buff,#E1B186,75.48218,11.8125,28.5625
BECCA Cosmetics,Ultimate Coverage 24 Hour Foundation,buttercup,#E2AD7F,74.487305,13.578125,30.984375
BECCA Cosmetics,Ultimate Coverage 24 Hour Foundation,camel,#D59C79,68.90869,16.8125,26.828125
BECCA Cosmetics,Ultimate Coverage 24 Hour Foundation,noisette,#D49971,67.93823,17.203125,29.859375
BECCA Cosmetics,Ultimate Coverage 24 Hour Foundation,pebble,#D8A284,70.88013,16.046875,23.3125
BECCA Cosmetics,Ultimate Coverage 24 Hour Foundation,driftwood,#DBA679,71.96045,13.84375,30.96875
BECCA Cosmetics,Ultimate Coverage 24 Hour Foundation,cassava,#D29B7B,68.38379,16.359375,24.984375
